"""Plant"""STR;0PLANT|"""Material"""MAT;0MATERIAL|"""Calday"""CALDAY;0CALDAY|"""R001/B001 Stock"""STOCK;ZSTOCK
ST02|000000000001008900|20200217|0.836-
ST02|000000000001008904|20200217|4.956-
SM49|000000000001018683|20200217|178.000 
SM49|000000000001043321|20200217|35.434 
SM49|000000000001051951|20200217|2.000-
SM49|000000000001052016|20200217|3.000-
ST02|000000000001023128|20200217|2.100-
ST02|000000000001052016|20200217|32.000 
ST02|000000000001298357|20200217|18.000 
ST04|000000000001235664|20200217|50.000 
ST04|000000000001008822|20200217|30.025-
ST04|000000000001008914|20200217|53.551 
ST04|000000000001277766|20200217|57.000 
ST02|000000000001359554|20200217|3.000-
ST04|000000000001018823|20200217|9.532 
ST04|000000000001020973|20200217|7.000-
ST04|000000000001034289|20200217|3.971 
ST04|000000000001294522|20200217|32.000 
ST02|000000000001366019|20200217|5.000-
ST04|000000000001051021|20200217|21.000-
ST04|000000000001052167|20200217|1.000-
SM49|000000000001013393|20200217|139.574 
ST04|000000000001008744|20200217|105.859 
ST04|000000000001365660|20200217|5.000-
ST04|000000000001304248|20200217|0.326-
ST04|000000000001306427|20200217|2.000 
ST04|000000000001337938|20200217|2.000-
ST04|000000000001337940|20200217|1.000-
ST04|000000000001307031|20200217|3.000 
ST04|000000000001338540|20200217|2.000 
ST04|000000000001338543|20200217|5.000 
ST04|000000000001352811|20200217|10.000-
ST04|000000000001358047|20200217|28.000-
ST04|000000000001358049|20200217|47.000-
ST04|000000000001314639|20200217|194.000 
ST04|000000000001345059|20200217|1.000-
ST05|000000000001356744|20200217|19.000-
ST05|000000000001358047|20200217|21.000-
ST05|000000000001359332|20200217|3.000-
ST05|000000000001336052|20200217|1.000 
ST05|000000000001336494|20200217|19.000 
ST05|000000000001336496|20200217|21.000 
ST05|000000000001337928|20200217|3.000-
ST05|000000000001299099|20200217|16.321-
ST05|000000000001008744|20200217|25.564 
ST05|000000000001036515|20200217|6.828 
ST05|000000000001036526|20200217|28.626 
ST10|000000000001013394|20200217|1.470 
ST10|000000000001018591|20200217|3.435 
ST10|000000000001036526|20200217|24.975 
ST10|000000000001037008|20200217|63.000 
ST10|000000000001306037|20200217|1.000 
ST10|000000000001008703|20200217|1.965-
ST10|000000000001008737|20200217|12.499 
ST10|000000000001008760|20200217|19.909 
ST10|000000000001008765|20200217|12.938 
ST10|000000000001008880|20200217|21.988 
ST10|000000000001008934|20200217|11.559 
ST06|000000000001306037|20200217|7.000 
ST06|000000000001008725|20200217|0.080 
ST06|000000000001008763|20200217|29.178 
ST06|000000000001008888|20200217|4.254 
ST06|000000000001013394|20200217|2.892 
ST06|000000000001028699|20200217|5.000 
ST06|000000000001036528|20200217|4.954 
ST10|000000000001358041|20200217|16.000-
ST10|000000000001358046|20200217|33.000-
ST10|000000000001360155|20200217|22.000-
ST10|000000000001360162|20200217|11.000-
ST10|000000000001360185|20200217|6.000-
ST10|000000000001360199|20200217|15.000-
ST10|000000000001360206|20200217|65.000-
ST10|000000000001337937|20200217|4.000-
ST10|000000000001340912|20200217|14.000 
ST10|000000000001344066|20200217|6.000-
ST13|000000000001172641|20200217|44.756 
ST13|000000000001172654|20200217|0.932-
ST13|000000000001008727|20200217|20.502 
ST13|000000000001008815|20200217|2.912 
ST13|000000000001008822|20200217|44.418 
ST13|000000000001337949|20200217|15.000 
ST13|000000000001008934|20200217|19.518 
ST13|000000000001340912|20200217|15.000 
ST13|000000000001344065|20200217|30.000-
ST13|000000000001299099|20200217|9.274-
ST13|000000000001299239|20200217|3.000 
ST13|000000000001299240|20200217|2.000 
ST13|000000000001304369|20200217|1.402-
ST13|000000000001306846|20200217|2.000 
ST13|000000000001306848|20200217|45.000 
ST13|000000000001306849|20200217|3.000 
ST13|000000000001059041|20200217|0.178-
ST13|000000000001311018|20200217|3.000-
ST13|000000000001311032|20200217|3.000-
ST14|000000000001272822|20200217|8.816-
ST14|000000000001008704|20200217|16.364 
ST14|000000000001008887|20200217|7.380-
ST14|000000000001008931|20200217|1.196 
ST14|000000000001249632|20200217|25.000-
ST14|000000000001249635|20200217|2.000-
ST14|000000000001249648|20200217|32.000-
